Color Description            %Trans
      CLEAR                  100.0
T6G   TRANSITIONS VI GRAY    100.0
T8B   TRANSITIONS 8 BROWN    100.0
T8G   TRANSITIONS 8 GRAY     100.0
TBN   TRANSITIONS BROWN      100.0
TGN   TRANS GRAPHITE GREEN   100.0
TGR   TRUE GRAY              100.0
TGY   TRANSITIONS GRAY       100.0
TN1   TAN 1                  60.0
TN2   TAN 2                  50.0
TN3   TAN 3                  40.0
TVG   TRANS VANTAGE GRAY     100.0
VAM   VARIA AMBER            100.0
VBN   VARIA BROWN            100.0
VCP   VARIA COPPER           100.0
VER   VERMILION              100.0
VGN   VARIA GREEN            100.0
VGY   VARIA GRAY             100.0
VIO   VIOLET                 100.0
VLS   VISTA LIFESTYLE        100.0
VPB   POLAR BROWN            100.0
VPG   POLAR GRAY             100.0
VPK   VARIA PINK             100.0
VPR   VISTA PRO              100.0
VSW   VISTA SLEEP WELL       100.0
VYL   VARIA YELLOW           100.0
X2B   XTRACTIVE 2 BROWN      100.0
X2G   XTRACTIVE 2 GRAY       100.0
X2N   XTRACTIVE 2 GREEN      100.0
XGG   XTRACTIVE GRPH GRN     100.0
XPB   XTRACTIVE POLAR BRN    100.0
XPG   XTRACTIVE POLAR GRAY   100.0
XTB   XTRACTIVE BROWN        100.0
XTG   XTRACTIVE GRAY         100.0
XXX   TEST                   100.0
YEL   YELLOW                 80.0
